MARSYEAR,ASSESSMENT_CODE,MUNICIPALITY_DESC,SCHEDULE_DESC,SCHEDULE_LINE_DESC,SCHEDULE_COLUMN_DESC,SLC,AMOUNT
2023,3001,North Dumfries Tp,FINANCIAL INFORMATION RETURN,Population,,slc.02X.L0041.C01.01,10619
2023,3001,North Dumfries Tp,CONSOLIDATED STATEMENT OF OPERATIONS: EXPENSES,General government,Total Expenses Before Adjustments,slc.40X.L0299.C01.07,1933805
2023,3001,North Dumfries Tp,CONSOLIDATED STATEMENT OF OPERATIONS: EXPENSES,General government,Total Expenses After Adjustments,slc.40X.L0299.C01.11,1933805
2023,3018,Wilmot Tp,FINANCIAL INFORMATION RETURN,Population,,slc.02X.L0041.C01.01,22338
2023,3018,Wilmot Tp,CONSOLIDATED STATEMENT OF OPERATIONS: EXPENSES,General government,Total Expenses Before Adjustments,slc.40X.L0299.C01.07,4008877
2023,3018,Wilmot Tp,CONSOLIDATED STATEMENT OF OPERATIONS: EXPENSES,General government,Total Expenses After Adjustments,slc.40X.L0299.C01.11,1391598
2023,3024,Wellesley Tp,FINANCIAL INFORMATION RETURN,Population,,slc.02X.L0041.C01.01,11260
2023,3024,Wellesley Tp,CONSOLIDATED STATEMENT OF OPERATIONS: EXPENSES,General government,Total Expenses Before Adjustments,slc.40X.L0299.C01.07,2104106
2023,3024,Wellesley Tp,CONSOLIDATED STATEMENT OF OPERATIONS: EXPENSES,General government,Total Expenses After Adjustments,slc.40X.L0299.C01.11,897303
2023,3029,Woolwich Tp,FINANCIAL INFORMATION RETURN,Population,,slc.02X.L0041.C01.01,27000
2023,3029,Woolwich Tp,CONSOLIDATED STATEMENT OF OPERATIONS: EXPENSES,General government,Total Expenses Before Adjustments,slc.40X.L0299.C01.07,4153213
2023,3029,Woolwich Tp,CONSOLIDATED STATEMENT OF OPERATIONS: EXPENSES,General government,Total Expenses After Adjustments,slc.40X.L0299.C01.11,2275165
2024,3001,North Dumfries Tp,FINANCIAL INFORMATION RETURN,Population,,slc.02X.L0041.C01.01,10619
2024,3001,North Dumfries Tp,CONSOLIDATED STATEMENT OF OPERATIONS: EXPENSES,General government,Total Expenses Before Adjustments,slc.40X.L0299.C01.07,2442555
2024,3001,North Dumfries Tp,CONSOLIDATED STATEMENT OF OPERATIONS: EXPENSES,General government,Total Expenses After Adjustments,slc.40X.L0299.C01.11,2442555
2024,3024,Wellesley Tp,FINANCIAL INFORMATION RETURN,Population,,slc.02X.L0041.C01.01,11318
2024,3024,Wellesley Tp,CONSOLIDATED STATEMENT OF OPERATIONS: EXPENSES,General government,Total Expenses Before Adjustments,slc.40X.L0299.C01.07,2291661
2024,3024,Wellesley Tp,CONSOLIDATED STATEMENT OF OPERATIONS: EXPENSES,General government,Total Expenses After Adjustments,slc.40X.L0299.C01.11,914302
2024,3029,Woolwich Tp,FINANCIAL INFORMATION RETURN,Population,,slc.02X.L0041.C01.01,26999
2024,3029,Woolwich Tp,CONSOLIDATED STATEMENT OF OPERATIONS: EXPENSES,General government,Total Expenses Before Adjustments,slc.40X.L0299.C01.07,4154805
2024,3029,Woolwich Tp,CONSOLIDATED STATEMENT OF OPERATIONS: EXPENSES,General government,Total Expenses After Adjustments,slc.40X.L0299.C01.11,2134863
