Table 1.6  Changes to census subdivisions in alphabetical order by province and territory (with 8C and 9C) - Ontario,,,,,,,,"From January 2, 2006 to January 1, 2011"
Tableau 1.6  Changements apportés aux subdivisions de recensement en ordre alphabétique par province et territoire (inclus 8C et 9C) - Ontario,,,,,,,,Du 2 janvier 2006 au 1er janvier 2011
Census subdivision,,Type,Change,,SGC code,Population 2006,Remarks,File no.
Subdivision de recensement,,Genre,Changement,,Code CGT,,Remarques,No de dossier
,,,Code,Date,,,,
Adelaide Metcalfe,,TP,9C,02/01/2006,35 39 047,3117,Part lost to - Partie donnée à,350021
,,,,,,,,
,Strathroy-Caradoc,TP,8C,02/01/2006,35 39 015,0,,
,Adelaide Metcalfe,TP,9C,02/01/2006,35 39 047,3117,,
,,,,,,,,
Adelaide Metcalfe,,TP,8,02/01/2006,35 39 047,3150,Part taken from (revision from pop. challenge) - Partie prise de (révision de contestation de population),350022
,,,,,,,,
,Strathroy-Caradoc,TP,9,02/01/2006,35 39 015,33,,
,Adelaide Metcalfe,TP,8,02/01/2006,35 39 047,3117,,
,,,,,,,,
Adelaide Metcalfe,,TP,9,02/01/2006,35 39 047,3135,Part lost to (revision from pop. challenge) - Partie donnée à (révision de contestation de population),350043
,,,,,,,,
,Strathroy-Caradoc,TP,8,02/01/2006,35 39 015,15,,
,Adelaide Metcalfe,TP,9,02/01/2006,35 39 047,3150,,
,,,,,,,,
Adelaide Metcalfe,,TP,2C,02/01/2006,35 39 047,3135,Name correction - Correction du nom - Adelaide-Metcalfe,350059
,,,,,,,,
Adelaide-Metcalfe,,TP,2C,02/01/2006,35 39 047,3135,Previously - Auparavant - Adelaide Metcalfe,350059
,,,,,,,,
"Algoma, Unorganized, North Part",,NO,9C,02/08/2007,35 57 095,5717,Part lost to - Partie donnée à,350025
,,,,,,,,
,Garden River 14,IRI,8C,02/08/2007,35 57 074,0,,
,"Algoma, Unorganized, North Part",NO,9C,02/08/2007,35 57 095,5717,,
,,,,,,,,
"Algoma, Unorganized, North Part",,NO,8C,02/08/2007,35 57 095,5717,Part taken from - Partie prise de,350026
,,,,,,,,
,Garden River 14,IRI,9C,02/08/2007,35 57 074,0,,
,"Algoma, Unorganized, North Part",NO,8C,02/08/2007,35 57 095,5717,,
,,,,,,,,
"Algoma, Unorganized, North Part",,NO,5A,02/01/2010,35 57 095,5717,Complete annexation of - Annexion complète de,350049
,,,,,,,,
,Missanabie 62,IRI,4,02/01/2010,35 57 082,0,,
,"Algoma, Unorganized, North Part",NO,5A,02/01/2010,35 57 095,5717,,
,,,,,,,,
Barrie Island,,TP,4,01/01/2009,35 51 031,47,"Now part of (dissolution) - Maintenant partie de (dissolution) - Gordon/Barrie Island, MU",350037
,,,,,,,,
,,,,,,,,
Big Grassy River 35G,,IRI,9C,02/08/2007,35 59 051,204,Part lost to - Partie donnée à,350028
,,,,,,,,
,Lake of the Woods,TP,8C,02/08/2007,35 59 047,0,,
,Big Grassy River 35G,IRI,9C,02/08/2007,35 59 051,204,,
,,,,,,,,
Big Grassy River 35G,,IRI,9C,02/08/2007,35 59 051,204,Part lost to - Partie donnée à,350029
,,,,,,,,
,Big Island Mainland 93,IRI,8C,02/08/2007,35 59 052,0,,
,Big Grassy River 35G,IRI,9C,02/08/2007,35 59 051,204,,
,,,,,,,,
Big Island Mainland 93,,IRI,9C,02/08/2007,35 59 052,10,Part lost to - Partie donnée à,350028
,,,,,,,,
,Lake of the Woods,TP,8C,02/08/2007,35 59 047,0,,
,Big Island Mainland 93,IRI,9C,02/08/2007,35 59 052,10,,
,,,,,,,,
Big Island Mainland 93,,IRI,8C,02/08/2007,35 59 052,10,Part taken from - Partie prise de,350029
,,,,,,,,
,Big Grassy River 35G,IRI,9C,02/08/2007,35 59 051,0,,
,Big Island Mainland 93,IRI,8C,02/08/2007,35 59 052,10,,
,,,,,,,,
Blue Mountains,,T,2C,02/01/2006,35 42 045,6825,Name correction - Correction du nom - The Blue Mountains,350060
,,,,,,,,
Bonfield,,TP,11,02/01/2006,35 48 027,1981,Population lost to (revision) - Population donnée à (révision),350039
,,,,,,,,
,East Ferris,TP,10,02/01/2006,35 48 034,28,,
,Bonfield,TP,11,02/01/2006,35 48 027,2009,,
,,,,,,,,
Cambridge,,CY,5,01/09/2008,35 30 010,120371,Annexation of part of - Partie annexée de,350023
,,,,,,,,
,North Dumfries,TP,6,01/09/2008,35 30 004,0,,
,Cambridge,CY,5,01/09/2008,35 30 010,120371,,
,,,,,,,,
Casselman,,VL,11,02/01/2006,35 02 044,3275,Population lost to (revision) - Population donnée à (révision),350042
,,,,,,,,
,The Nation / La Nation,M,10,02/01/2006,35 02 025,19,,
,Casselman,VL,11,02/01/2006,35 02 044,3294,,
,,,,,,,,
Cavan Monaghan,,TP,2,23/10/2007,35 15 013,8828,Previously - Auparavant - Cavan-Millbrook-North Monaghan,350016
,,,,,,,,
Cavan Monaghan,,TP,2C,23/10/2007,35 15 013,8828,Name correction - Correction du nom - Cavan-Monaghan,350061
,,,,,,,,
Cavan-Millbrook-North Monaghan,,TP,2,23/10/2007,35 15 013,8828,Name changed to - Nom changé à - Cavan Monaghan,350016
,,,,,,,,
Cavan-Monaghan,,TP,2C,23/10/2007,35 15 013,8828,Previously - Auparavant - Cavan Monaghan,350061
,,,,,,,,
Central Elgin,,MU,9C,02/01/2006,35 34 020,12723,Part lost to - Partie donnée à,350071
,,,,,,,,
,St. Thomas,CY,8C,02/01/2006,35 34 021,0,,
,Central Elgin,MU,9C,02/01/2006,35 34 020,12723,,
,,,,,,,,
Central Elgin,,MU,6,01/01/2011,35 34 020,12723,Part annexed to - Partie annexée à,350072
,,,,,,,,
,St. Thomas,CY,5,01/01/2011,35 34 021,0,,
,Central Elgin,MU,6,01/01/2011,35 34 020,12723,,
,,,,,,,,
Central Elgin,,MU,5,01/01/2011,35 34 020,12723,Annexation of part of - Partie annexée de,350073
,,,,,,,,
,St. Thomas,CY,6,01/01/2011,35 34 021,0,,
,Central Elgin,MU,5,01/01/2011,35 34 020,12723,,
,,,,,,,,
Cobalt,,T,9,02/01/2006,35 54 008,1219,Part lost to (revision from pop. challenge) - Partie donnée à (révision de contestation de population),350012
,,,,,,,,
,Coleman,TP,8,02/01/2006,35 54 001,10,,
,Cobalt,T,9,02/01/2006,35 54 008,1229,,
,,,,,,,,
Cobalt,,T,11,02/01/2006,35 54 008,1214,Population lost to (revision) - Population donnée à (révision),350014
,,,,,,,,
,"Timiskaming, Unorganized, West Part",NO,10,02/01/2006,35 54 094,5,,
,Cobalt,T,11,02/01/2006,35 54 008,1219,,
,,,,,,,,
Cobalt,,T,11,02/01/2006,35 54 008,1214,Population lost to (revision) - Population donnée à (révision),350015
,,,,,,,,
,Latchford,T,10,02/01/2006,35 54 006,0,,
,Cobalt,T,11,02/01/2006,35 54 008,1214,,
,,,,,,,,
Cobalt,,T,10,02/01/2006,35 54 008,1224,Population taken from (revision) - Population prise de (révision),350019
,,,,,,,,
,Coleman,TP,11,02/01/2006,35 54 001,10,,
,Cobalt,T,10,02/01/2006,35 54 008,1214,,
,,,,,,,,
"Cochrane, Unorganized, North Part",,NO,5A,02/01/2010,35 56 092,2447,Complete annexation of - Annexion complète de,350048
,,,,,,,,
,New Post 69,IRI,4,02/01/2010,35 56 104,0,,
,"Cochrane, Unorganized, North Part",NO,5A,02/01/2010,35 56 092,2447,,
,,,,,,,,
Cockburn Island,,TP,5A,02/01/2010,35 51 034,10,Complete annexation of - Annexion complète de,350045
,,,,,,,,
,Zhiibaahaasing 19 (Cockburn Island 19),IRI,4,02/01/2010,35 51 035,0,,
,Cockburn Island,TP,5A,02/01/2010,35 51 034,10,,
,,,,,,,,
Coleman,,TP,8,02/01/2006,35 54 001,436,Part taken from (revision from pop. challenge) - Partie prise de (révision de contestation de population),350011
,,,,,,,,
,Temiskaming Shores,CY,9,02/01/2006,35 54 020,5,,
,Coleman,TP,8,02/01/2006,35 54 001,431,,
,,,,,,,,
Coleman,,TP,8,02/01/2006,35 54 001,446,Part taken from (revision from pop. challenge) - Partie prise de (révision de contestation de population),350012
,,,,,,,,
,Cobalt,T,9,02/01/2006,35 54 008,10,,
,Coleman,TP,8,02/01/2006,35 54 001,436,,
,,,,,,,,
Coleman,,TP,10,02/01/2006,35 54 001,545,Population taken from (revision) - Population prise de (révision),350013
,,,,,,,,
,Latchford,T,11,02/01/2006,35 54 006,56,,
,Temiskaming Shores,CY,11,02/01/2006,35 54 020,43,,
,Coleman,TP,10,02/01/2006,35 54 001,446,,
,,,,,,,,
Coleman,,TP,10,02/01/2006,35 54 001,555,Population taken from (revision) - Population prise de (révision),350017
,,,,,,,,
,Temiskaming Shores,CY,11,02/01/2006,35 54 020,10,,
,Coleman,TP,10,02/01/2006,35 54 001,545,,
,,,,,,,,
Coleman,,TP,11,02/01/2006,35 54 001,550,Population lost to (revision) - Population donnée à (révision),350018
,,,,,,,,
,Temiskaming Shores,CY,10,02/01/2006,35 54 020,5,,
,Coleman,TP,11,02/01/2006,35 54 001,555,,
,,,,,,,,
Coleman,,TP,11,02/01/2006,35 54 001,540,Population lost to (revision) - Population donnée à (révision),350019
,,,,,,,,
,Cobalt,T,10,02/01/2006,35 54 008,10,,
,Coleman,TP,11,02/01/2006,35 54 001,550,,
,,,,,,,,
Drummond/North Elmsley,,TP,6,01/01/2010,35 09 010,7118,Part annexed to - Partie annexée à,350055
,,,,,,,,
,Perth,T,5,01/01/2010,35 09 021,0,,
,Drummond/North Elmsley,TP,6,01/01/2010,35 09 010,7118,,
,,,,,,,,
East Ferris,,TP,10,02/01/2006,35 48 034,4228,Population taken from (revision) - Population prise de (révision),350039
,,,,,,,,
,Bonfield,TP,11,02/01/2006,35 48 027,28,,
,East Ferris,TP,10,02/01/2006,35 48 034,4200,,
,,,,,,,,
East Zorra-Tavistock,,TP,6,01/07/2006,35 32 038,7008,Part annexed to - Partie annexée à,350001
,,,,,,,,
,Woodstock,CY,5,01/07/2006,35 32 042,342,,
,East Zorra-Tavistock,TP,6,01/07/2006,35 32 038,7350,,
,,,,,,,,
East Zorra-Tavistock,,TP,5,01/01/2009,35 32 038,7008,Annexation of part of - Partie annexée de,350038
,,,,,,,,
,Perth East,TP,6,01/01/2009,35 31 030,0,,
,East Zorra-Tavistock,TP,5,01/01/2009,35 32 038,7008,,
,,,,,,,,
Fort William 52,,IRI,9,02/08/2007,35 58 003,889,Part lost to (revision from pop. challenge) - Partie donnée à (révision de contestation de population),350035
,,,,,,,,
,Thunder Bay,CY,8,02/08/2007,35 58 004,20,,
,Fort William 52,IRI,9,02/08/2007,35 58 003,909,,
,,,,,,,,
Fort William 52,,IRI,8C,02/08/2007,35 58 003,889,Part taken from - Partie prise de,350036
,,,,,,,,
,Thunder Bay,CY,9C,02/08/2007,35 58 004,0,,
,Fort William 52,IRI,8C,02/08/2007,35 58 003,889,,
,,,,,,,,
Garden River 14,,IRI,8C,02/08/2007,35 57 074,985,Part taken from - Partie prise de,350025
,,,,,,,,
,"Algoma, Unorganized, North Part",NO,9C,02/08/2007,35 57 095,0,,
,Garden River 14,IRI,8C,02/08/2007,35 57 074,985,,
,,,,,,,,
Garden River 14,,IRI,9C,02/08/2007,35 57 074,985,Part lost to - Partie donnée à,350026
,,,,,,,,
,"Algoma, Unorganized, North Part",NO,8C,02/08/2007,35 57 095,0,,
,Garden River 14,IRI,9C,02/08/2007,35 57 074,985,,
,,,,,,,,
Garden River 14,,IRI,9C,02/08/2007,35 57 074,985,Part lost to - Partie donnée à,350027
,,,,,,,,
,"Macdonald, Meredith and Aberdeen Additional",TP,8C,02/08/2007,35 57 051,0,,
,Garden River 14,IRI,9C,02/08/2007,35 57 074,985,,
,,,,,,,,
