Table 1 / Tableau 1,,,,,,,,
Changes to Census Subdivisions in alphabetical order by province (with 8C & 9C),,,,,,,"Effective dates: From January 2nd, 2011 to January 1st, 2016",
Changements apportés aux subdivisions de recensement en ordre alphabétique par province (inclus 8C et 9C),,,,,,,Dates effective: Du 2 Janvier 2011 au 1er Janvier 2016,
,,,,,,,,
,,,,,,,,
Census Subdivision,,Type,Change,,SGC Code,Population 2011,Remarks,File No.
Subdivision de recensement,,Genre,Changement,,Code CGT,,Remarques,Dossier No.
,,,Code,Date,,,,
Ontario,,,,,,,,
Addington Highlands,,TP,9,02/01/2011,35 11 035,2517,Part lost to (revision from pop. challenge) - Partie donnée à (révision de contestation de population),350016
,,,,,,,,
,North Frontenac,TP,8,02/01/2011,35 10 045,15,,
,Addington Highlands,TP,9,02/01/2011,35 11 035,2532,,
,,,,,,,,
Algonquin Highlands,,TP,8,02/01/2011,35 46 018,2186,Part taken from (revision from pop. challenge) - Partie prise de (révision de contestation de population),350001
,,,,,,,,
,Lake of Bays,TP,9,02/01/2011,35 44 027,30,,
,Algonquin Highlands,TP,8,02/01/2011,35 46 018,2156,,
,,,,,,,,
Atikokan,,T,3,02/01/2011,35 59 001,2787,Previously - Auparavant - TP,350035
,,,,,,,,
Barrie,,CY,5,01/01/2010,35 43 042,136063,Annexation of part of - Partie annexée de,350003
,,,,,,,,
,Innisfil,T,6,01/01/2010,35 43 017,352,,
,Barrie,CY,5,01/01/2010,35 43 042,135711,,
,,,,,,,,
Bracebridge,,T,8C,02/01/2011,35 44 018,15409,Part taken from - Partie prise de,350007
,,,,,,,,
,Lake of Bays,TP,9C,02/01/2011,35 44 027,0,,
,Bracebridge,T,8C,02/01/2011,35 44 018,15409,,
,,,,,,,,
Bracebridge,,T,10,02/01/2011,35 44 018,15414,Population taken from (revision) - Population prise de (révision),350008
,,,,,,,,
,Gravenhurst,T,11,02/01/2011,35 44 002,5,,
,Bracebridge,T,10,02/01/2011,35 44 018,15409,,
,,,,,,,,
Bracebridge,,T,8C,02/01/2011,35 44 018,15414,Part taken from - Partie prise de,350009
,,,,,,,,
,Gravenhurst,T,9C,02/01/2011,35 44 002,0,,
,Bracebridge,T,8C,02/01/2011,35 44 018,15414,,
,,,,,,,,
Brampton,,CY,9,02/01/2011,35 21 010,523906,Part lost to (revision from pop. challenge) - Partie donnée à (révision de contestation de population),350029
,,,,,,,,
,Halton Hills,T,8,02/01/2011,35 24 015,5,,
,Brampton,CY,9,02/01/2011,35 21 010,523911,,
,,,,,,,,
Caledon,,T,9C,02/01/2011,35 21 024,59460,Part lost to - Partie donnée à,350023
,,,,,,,,
,Halton Hills,T,8C,02/01/2011,35 24 015,0,,
,Caledon,T,9C,02/01/2011,35 21 024,59460,,
,,,,,,,,
Calvin,,MU,3,02/01/2011,35 48 022,568,Previously - Auparavant - TP,350036
,,,,,,,,
Carleton Place,,T,5,30/09/2012,35 09 028,9809,Annexation of part of - Partie annexée de,350005
,,,,,,,,
,Mississippi Mills,T,6,30/09/2012,35 09 030,0,,
,Carleton Place,T,5,30/09/2012,35 09 028,9809,,
,,,,,,,,
Cavan Monaghan,,TP,2,02/01/2011,35 15 013,8601,Previously - Auparavant - Cavan-Monaghan,350033
,,,,,,,,
Cavan-Monaghan,,TP,2,02/01/2011,35 15 013,8601,Name Changed to - Nom changé à - Cavan Monaghan,350033
,,,,,,,,
Central Huron,,MU,6,01/01/2014,35 40 025,7586,Part annexed to - Partie annexée à,350013
,,,,,,,,
,Goderich,T,5,01/01/2014,35 40 028,5,,
,Central Huron,MU,6,01/01/2014,35 40 025,7591,,
,,,,,,,,
Central Manitoulin,,MU,3,02/01/2011,35 51 006,1958,Previously - Auparavant - TP,350030
,,,,,,,,
Centre Hastings,,MU,8,02/01/2011,35 12 026,4574,Part taken from (revision from pop. challenge) - Partie prise de (révision de contestation de population),350028
,,,,,,,,
,Madoc,TP,9,02/01/2011,35 12 036,31,,
,Centre Hastings,MU,8,02/01/2011,35 12 026,4543,,
,,,,,,,,
Champlain,,TP,6,01/01/2016,35 02 010,8573,Part annexed to - Partie annexée à,350025
,,,,,,,,
,Hawkesbury,T,5,01/01/2016,35 02 008,0,,
,Champlain,TP,6,01/01/2016,35 02 010,8573,,
,,,,,,,,
Chapple,,TP,5A,02/01/2011,35 59 024,746,Complete annexation of - Annexion complète de,350019
,,,,,,,,
,Long Sault 12,IRI,4,02/01/2011,35 59 092,5,,
,Chapple,TP,5A,02/01/2011,35 59 024,741,,
,,,,,,,,
Chapple,,TP,6,02/01/2011,35 59 024,741,Part incorporated as - Partie de la constitution de,350024
,,,,,,,,
,Long Sault 12,IRI,1,02/01/2011,35 59 030,5,,
,Chapple,TP,6,02/01/2011,35 59 024,746,,
,,,,,,,,
Chief's Point No. 28,,IRI,1,02/01/2011,35 41 801,0,Incorporation from part of - Constitution d'une partie de,350042
,,,,,,,,
,South Bruce Peninsula,T,6,02/01/2011,35 41 055,0,,
,,,,,,,,
Chief's Point No. 28,,IRI,7C,02/01/2011,35 41 056,0,Previously - Auparavant - 35 41 801,350043
,,,,,,,,
Chippewas of the Thames First Nation 42,,IRI,5,29/09/2011,35 39 017,762,Annexation of part of - Partie annexée de,350015
,,,,,,,,
,Strathroy-Caradoc,TP,6,29/09/2011,35 39 015,0,,
,Chippewas of the Thames First Nation 42,IRI,5,29/09/2011,35 39 017,762,,
,,,,,,,,
Clarence-Rockland,,C,3,02/01/2011,35 02 036,23185,Previously - Auparavant - CY,350034
,,,,,,,,
"Cochrane, Unorganized, North Part",,NO,9C,02/01/2011,35 56 092,3064,Part lost to - Partie donnée à,350014
,,,,,,,,
,Fort Albany (Part) 67,IRI,8C,02/01/2011,35 56 093,0,,
,"Cochrane, Unorganized, North Part",NO,9C,02/01/2011,35 56 092,3064,,
,,,,,,,,
Dysart and Others,,TP,23,02/01/2011,35 46 024,5966,Name and status changed to - Nom et genre changé à - Dysart et al MU,350041
,,,,,,,,
,,,,,,,,
Dysart et al,,MU,23,02/01/2011,35 46 024,5966,Previously - Auparavant - Dysart and Others TP,350041
,,,,,,,,
,,,,,,,,
East Ferris,,MU,3,02/01/2011,35 48 034,4512,Previously - Auparavant - TP,350031
,,,,,,,,
East Luther Grand Valley,,TP,23,14/08/2012,35 22 010,2726,Name and status changed to - Nom et genre changé à - Grand Valley T,320022
,,,,,,,,
,,,,,,,,
Fort Albany (Part) 67,,IRI,8C,02/01/2011,35 56 093,511,Part taken from - Partie prise de,350014
,,,,,,,,
,"Cochrane, Unorganized, North Part",NO,9C,02/01/2011,35 56 092,0,,
,Fort Albany (Part) 67,IRI,8C,02/01/2011,35 56 093,511,,
,,,,,,,,
Galway-Cavendish and Harvey,,TP,23,19/02/2013,35 15 044,5105,Name and status changed to - Nom et genre changé à - Trent Lakes MU,350021
,,,,,,,,
,,,,,,,,
Goderich,,T,5,01/01/2014,35 40 028,7526,Annexation of part of - Partie annexée de,350013
,,,,,,,,
,Central Huron,MU,6,01/01/2014,35 40 025,5,,
,Goderich,T,5,01/01/2014,35 40 028,7521,,
,,,,,,,,
Grand Valley,,T,23,14/08/2012,35 22 010,2726,Previously - Auparavant - East Luther Grand Valley TP,320022
,,,,,,,,
,,,,,,,,
Gravenhurst,,T,11,02/01/2011,35 44 002,11635,Population lost to (revision) - Population donnée à (révision),350008
,,,,,,,,
,Bracebridge,T,10,02/01/2011,35 44 018,5,,
,Gravenhurst,T,11,02/01/2011,35 44 002,11640,,
,,,,,,,,
Gravenhurst,,T,9C,02/01/2011,35 44 002,11635,Part lost to - Partie donnée à,350009
,,,,,,,,
,Bracebridge,T,8C,02/01/2011,35 44 018,0,,
,Gravenhurst,T,9C,02/01/2011,35 44 002,11635,,
,,,,,,,,
Halton Hills,,T,8C,02/01/2011,35 24 015,59008,Part taken from - Partie prise de,350023
,,,,,,,,
,Caledon,T,9C,02/01/2011,35 21 024,0,,
,Halton Hills,T,8C,02/01/2011,35 24 015,59008,,
,,,,,,,,
Halton Hills,,T,8,02/01/2011,35 24 015,59013,Part taken from (revision from pop. challenge) - Partie prise de (révision de contestation de population),350029
,,,,,,,,
,Brampton,CY,9,02/01/2011,35 21 010,5,,
,Halton Hills,T,8,02/01/2011,35 24 015,59008,,
,,,,,,,,
Hawkesbury,,T,5,01/01/2016,35 02 008,10551,Annexation of part of - Partie annexée de,350025
,,,,,,,,
,Champlain,TP,6,01/01/2016,35 02 010,0,,
,Hawkesbury,T,5,01/01/2016,35 02 008,10551,,
,,,,,,,,
Innisfil,,T,6,01/01/2010,35 43 017,32727,Part annexed to - Partie annexée à,350003
,,,,,,,,
,Barrie,CY,5,01/01/2010,35 43 042,352,,
,Innisfil,T,6,01/01/2010,35 43 017,33079,,
,,,,,,,,
Kawartha Lakes,,CY,8,02/01/2011,35 16 010,73219,Part taken from (revision from pop. challenge) - Partie prise de (révision de contestation de population),350027
,,,,,,,,
,Trent Lakes,MU,9,02/01/2011,35 15 044,5,,
,Kawartha Lakes,CY,8,02/01/2011,35 16 010,73214,,
,,,,,,,,
Lake of Bays,,TP,9,02/01/2011,35 44 027,3254,Part lost to (revision from pop. challenge) - Partie donnée à (révision de contestation de population),350001
,,,,,,,,
,Algonquin Highlands,TP,8,02/01/2011,35 46 018,30,,
,Lake of Bays,TP,9,02/01/2011,35 44 027,3284,,
,,,,,,,,
Lake of Bays,,TP,9C,02/01/2011,35 44 027,3254,Part lost to - Partie donnée à,350007
,,,,,,,,
,Bracebridge,T,8C,02/01/2011,35 44 018,0,,
,Lake of Bays,TP,9C,02/01/2011,35 44 027,3254,,
,,,,,,,,
Long Sault 12,,IRI,6,02/01/2011,35 59 092,5,Part annexed to - Partie annexée à,350018
,,,,,,,,
,Morley,TP,5,02/01/2011,35 59 031,34,,
,Long Sault 12,IRI,6,02/01/2011,35 59 092,39,,
,,,,,,,,
Long Sault 12,,IRI,4,02/01/2011,35 59 092,5,"Now part of (dissolution) - Maintenant partie de (dissolution) - Chapple , TP",350019
,,,,,,,,
,,,,,,,,
Long Sault 12,,IRI,1,02/01/2011,35 59 030,5,Incorporation from part of - Constitution d'une partie de,350024
,,,,,,,,
,Chapple,TP,6,02/01/2011,35 59 024,5,,
,,,,,,,,
MacDowell Lake,,S-É,2C,02/01/2011,35 60 102,0,Name correction - Correction du nom - McDowell Lake,350010
,,,,,,,,
Machin,,MU,3,02/01/2011,35 60 021,935,Previously - Auparavant - TP,350038
,,,,,,,,
Madoc,,TP,9,02/01/2011,35 12 036,2166,Part lost to (revision from pop. challenge) - Partie donnée à (révision de contestation de population),350028
,,,,,,,,
,Centre Hastings,MU,8,02/01/2011,35 12 026,31,,
,Madoc,TP,9,02/01/2011,35 12 036,2197,,
,,,,,,,,
Markham,,CY,3,01/07/2012,35 19 036,301709,Previously - Auparavant - T,350004
,,,,,,,,
McDowell Lake,,S-É,2C,02/01/2011,35 60 102,0,Previously - Auparavant - MacDowell Lake,350010
,,,,,,,,
Middlesex Centre,,MU,3,02/01/2011,35 39 033,16487,Previously - Auparavant - TP,350032
,,,,,,,,
Mississippi Mills,,T,6,30/09/2012,35 09 030,12385,Part annexed to - Partie annexée à,350005
,,,,,,,,
,Carleton Place,T,5,30/09/2012,35 09 028,0,,
,Mississippi Mills,T,6,30/09/2012,35 09 030,12385,,
,,,,,,,,
Mnjikaning First Nation 32,,IRI,2,04/06/2014,35 43 050,870,Previously - Auparavant - Mnjikaning First Nation 32 (Rama First Nation,350017
,,,,,,,32),
,,,,,,,,
Mnjikaning First Nation 32 (Rama First Nation,,IRI,2,04/06/2014,35 43 050,870,Name Changed to - Nom changé à - Mnjikaning First Nation 32,350017
32),,,,,,,,
,,,,,,,,
,,,,,,,,
Morley,,TP,5,02/01/2011,35 59 031,508,Annexation of part of - Partie annexée de,350018
,,,,,,,,
,Long Sault 12,IRI,6,02/01/2011,35 59 092,34,,
,Morley,TP,5,02/01/2011,35 59 031,474,,
,,,,,,,,
North Frontenac,,TP,8,02/01/2011,35 10 045,1857,Part taken from (revision from pop. challenge) - Partie prise de (révision de contestation de population),350016
,,,,,,,,
,Addington Highlands,TP,9,02/01/2011,35 11 035,15,,
,North Frontenac,TP,8,02/01/2011,35 10 045,1842,,
,,,,,,,,
Northeastern Manitoulin and the Islands,,MU,3,02/01/2011,35 51 017,2706,Previously - Auparavant - T,350037
,,,,,,,,
Otonabee-South Monaghan,,TP,6,01/01/2013,35 15 005,6581,Part annexed to - Partie annexée à,350006
,,,,,,,,
,Peterborough,CY,5,01/01/2013,35 15 014,79,,
,Otonabee-South Monaghan,TP,6,01/01/2013,35 15 005,6660,,
,,,,,,,,
Perth East,,TP,6,01/01/2016,35 31 030,12028,Part annexed to - Partie annexée à,350026
,,,,,,,,
,Stratford,CY,5,01/01/2016,35 31 011,0,,
,Perth East,TP,6,01/01/2016,35 31 030,12028,,
,,,,,,,,
Perth East,,TP,6,01/01/2015,35 31 030,12011,Part annexed to - Partie annexée à,350044
,,,,,,,,
,Stratford,CY,5,01/01/2015,35 31 011,17,,
,Perth East,TP,6,01/01/2015,35 31 030,12028,,
,,,,,,,,
Peterborough,,CY,5,01/01/2013,35 15 014,78777,Annexation of part of - Partie annexée de,350006
,,,,,,,,
,Otonabee-South Monaghan,TP,6,01/01/2013,35 15 005,79,,
,Peterborough,CY,5,01/01/2013,35 15 014,78698,,
,,,,,,,,
Selwyn,,TP,2,15/01/2013,35 15 015,16846,Previously - Auparavant - Smith-Ennismore-Lakefield,350020
,,,,,,,,
Shuniah,,MU,3,02/01/2011,35 58 028,2737,Previously - Auparavant - TP,350002
,,,,,,,,
Smith-Ennismore-Lakefield,,TP,2,15/01/2013,35 15 015,16846,Name Changed to - Nom changé à - Selwyn,350020
,,,,,,,,
South Bruce Peninsula,,T,6,02/01/2011,35 41 055,8413,Part incorporated as - Partie de la constitution de,350042
,,,,,,,,
,Chief's Point No. 28,IRI,1,02/01/2011,35 41 801,0,,
,South Bruce Peninsula,T,6,02/01/2011,35 41 055,8413,,
,,,,,,,,
South Dundas,,MU,3,02/01/2011,35 01 020,10794,Previously - Auparavant - TP,350039
,,,,,,,,
Stratford,,CY,5,01/01/2016,35 31 011,30886,Annexation of part of - Partie annexée de,350026
,,,,,,,,
,Perth East,TP,6,01/01/2016,35 31 030,0,,
,Stratford,CY,5,01/01/2016,35 31 011,30886,,
,,,,,,,,
Stratford,,CY,5,01/01/2015,35 31 011,30903,Annexation of part of - Partie annexée de,350044
,,,,,,,,
,Perth East,TP,6,01/01/2015,35 31 030,17,,
,Stratford,CY,5,01/01/2015,35 31 011,30886,,
,,,,,,,,
Strathroy-Caradoc,,TP,6,29/09/2011,35 39 015,20978,Part annexed to - Partie annexée à,350015
,,,,,,,,
,Chippewas of the Thames First Nation 42,IRI,5,29/09/2011,35 39 017,0,,
