Table 2 / Tableau 2,,,,,,
"Changes to Census Subdivision Codes, Names and Types in Numerical Order, by Province",,,,,,"Effective dates: From January 2nd, 2011 to January 1st, 2016"
"Changements apportés aux codes, aux noms et aux genres des subdivisions de recensement en ordre numérique, selon la province",,,,,,Dates effective: Du 2 Janvier 2011 au 1er Janvier 2016
,,,,,,
,,,,,,
SGC-CGT,,Census Subdivision,CSD type,Code,Date,Remarks
Former Code,Revised Code,Subdivision de recensement,Genre de SDR,,,Remarques
Ancien code,Code révisé,,,,,
,,,,,,
,,Ontario,,,,
35 01 020,,South Dundas,MU,3,02/01/2011,Previously - Auparavant - TP
,,,,,,
35 02 036,,Clarence-Rockland,C,3,02/01/2011,Previously - Auparavant - CY
,,,,,,
35 15 013,,Cavan Monaghan,TP,2,02/01/2011,Previously - Auparavant - Cavan-Monaghan
,,,,,,
35 15 013,,Cavan-Monaghan,TP,2,02/01/2011,Changed to - Devenu - Cavan Monaghan
,,,,,,
35 15 015,,Selwyn,TP,2,15/01/2013,Previously - Auparavant - Smith-Ennismore-Lakefield
,,,,,,
35 15 015,,Smith-Ennismore-Lakefield,TP,2,15/01/2013,Changed to - Devenu - Selwyn
,,,,,,
35 15 044,,Trent Lakes,MU,23,19/02/2013,"Previously - Auparavant - Galway-Cavendish and Harvey , TP"
,,,,,,
35 15 044,,Galway-Cavendish and Harvey,TP,23,19/02/2013,"Changed to - Devenu - Trent Lakes , MU"
,,,,,,
35 19 036,,Markham,CY,3,01/07/2012,Previously - Auparavant - T
,,,,,,
35 22 010,,Grand Valley,T,23,14/08/2012,"Previously - Auparavant - East Luther Grand Valley , TP"
,,,,,,
35 22 010,,East Luther Grand Valley,TP,23,14/08/2012,"Changed to - Devenu - Grand Valley , T"
,,,,,,
35 39 015,,Strathroy-Caradoc,MU,3,02/01/2011,Previously - Auparavant - TP
,,,,,,
35 39 033,,Middlesex Centre,MU,3,02/01/2011,Previously - Auparavant - TP
,,,,,,
35 41 056,,Chief's Point No. 28,IRI,7C,02/01/2011,Previously - Auparavant  
,,,,,,
,35 41 801,Chief's Point No. 28,IRI,1,02/01/2011,Incorporated from - Constituée de - South Bruce Peninsula
,,,,,,
,,,,,,
35 43 050,,Mnjikaning First Nation 32,IRI,2,04/06/2014,Previously - Auparavant - Mnjikaning First Nation 32 (Rama First Nation 32)
,,,,,,
35 43 050,,Mnjikaning First Nation 32 (Rama First Nation 32),IRI,2,04/06/2014,Changed to - Devenu - Mnjikaning First Nation 32
,,,,,,
35 46 024,,Dysart et al,MU,23,02/01/2011,"Previously - Auparavant - Dysart and Others , TP"
,,,,,,
35 46 024,,Dysart and Others,TP,23,02/01/2011,"Changed to - Devenu - Dysart et al , MU"
,,,,,,
35 48 022,,Calvin,MU,3,02/01/2011,Previously - Auparavant - TP
,,,,,,
35 48 034,,East Ferris,MU,3,02/01/2011,Previously - Auparavant - TP
,,,,,,
