Table 1,,,,,,,,,,,,
Changes to census subdivisions by province and territory,,,,,,,,,,,,
Gaining CSDuid ,Gaining CSDname ,Gaining CSDtype ,Gaining Change Code ,Gaining Change Code Description,Losing CSDuid ,Losing CSDname ,Losing CSDtype ,Losing Change Code ,Losing Change Code Description,Census Population Affected,Effective Date,File Number
Newfoundland and Labrador,,,,,,,,,,,,
1007031,"Division No.  7, Subd. E",SNO,10,Population gained due to correction,1007036,Port Blandford,T,11,Population lost due to correction,24,02/01/2016,100003
1001263,Long Harbour-Mount Arlington Heights,T,10,Population gained due to correction,1001259,"Division No.  1, Subd. A",SNO,11,Population lost due to correction,65,02/01/2016,100002
1010802,Sheshatshiu 3,IRI,10,Population gained due to correction,1010020,"Division No. 10, Subd. C",SNO,11,Population lost due to correction,477,02/01/2016,100001
Prince Edward Island,,,,,,,,,,,,
1103027,Abram-Village,RM,2,Name change,...,Abrams Village,RM,...,...,...,03/04/2018,110130
1103027,Abrams Village,RM,3,Type change,...,Abrams Village,COM,...,...,...,23/12/2017,110011
1103027,Abrams Village,RM,8,Area and population gained due to correction,1103020,Wellington,FD,9,Area and population lost due to correction,28,01/01/2018,110118
1102027,Afton,RM,1,Incorporation from part,1102028,Lot 65,LOT,6,Area lost due to incorporation,1242,01/01/2018,110015
1103064,Alberton,FD,1,Incorporation from amalgamation and partial annexation,1103051,Lot  4,LOT,6,Area lost due to incorporation,936,01/01/2018,110075
1103064,Alberton,FD,1,Incorporation from amalgamation and partial annexation,1103041,Lot  6,LOT,6,Area lost due to incorporation,181,01/01/2018,110075
1103064,Alberton,FD,1,Incorporation from amalgamation and partial annexation,1103036,Lot 11,LOT,4,Dissolution,0,01/01/2018,110075
1103064,Alberton,FD,1,Incorporation from amalgamation and partial annexation,1103054,Lot  3,LOT,4,Dissolution,338,01/01/2018,110075
1103064,Alberton,FD,1,Incorporation from amalgamation and partial annexation,1103049,Lot  5,LOT,6,Area lost due to incorporation,683,01/01/2018,110075
1103064,Alberton,FD,1,Incorporation from amalgamation and partial annexation,1103056,Lot  2,LOT,4,Dissolution,28,01/01/2018,110075
1102013,Alexandra,RM,1,Incorporation from part,1102014,Lot 48,LOT,6,Area lost due to incorporation,5,01/01/2018,110036
1102013,Alexandra,RM,1,Incorporation from part,1102012,Lot 49,LOT,6,Area lost due to incorporation,204,01/01/2018,110036
1102013,Alexandra,RM,1,Incorporation from part,1102080,Stratford,T,6,Area lost due to incorporation,0,01/01/2018,110036
1101030,Annandale - Little Pond - Howe Bay,RM,1,Incorporation from part,1101029,Lot 56,LOT,6,Area lost due to incorporation,207,01/01/2018,110027
1103015,Bedeque and Area,RM,3,Type change,...,Bedeque and Area,COM,...,...,...,23/12/2017,110045
1102002,Belfast,RM,1,Incorporation from part,1102004,Lot 60,LOT,6,Area lost due to incorporation,267,01/01/2018,110029
1102002,Belfast,RM,1,Incorporation from part,1102001,Lot 62,LOT,6,Area lost due to incorporation,369,01/01/2018,110029
1102002,Belfast,RM,1,Incorporation from part,1102006,Lot 58,LOT,6,Area lost due to incorporation,422,01/01/2018,110029
1102002,Belfast,RM,1,Incorporation from part,1102008,Lot 57,LOT,6,Area lost due to incorporation,578,01/01/2018,110029
1102024,Bonshaw,RM,1,Incorporation from part,1102028,Lot 65,LOT,6,Area lost due to incorporation,0,01/01/2018,110017
1102024,Bonshaw,RM,1,Incorporation from part,1102029,Lot 30,LOT,6,Area lost due to incorporation,175,01/01/2018,110017
1103002,Borden,FD,1,Incorporation from part,1103006,Lot 27,LOT,6,Area lost due to incorporation,375,01/01/2018,110089
1103002,Borden,FD,1,Incorporation from part,1103001,Lot 28,LOT,6,Area lost due to incorporation,296,01/01/2018,110089
1103002,Borden,FD,1,Incorporation from part,1103009,Lot 26,LOT,6,Area lost due to incorporation,40,01/01/2018,110089
1102055,Brackley,COM,1,Incorporation from amalgamation,1102065,Winsloe South,COM,4,Dissolution,224,15/12/2017,110002
1102055,Brackley,COM,1,Incorporation from amalgamation,1102048,Brackley,COM,4,Dissolution,372,15/12/2017,110002
1102055,Brackley,RM,3,Type change,...,Brackley,COM,...,...,...,23/12/2017,110071
1102051,Breadalbane,RM,3,Type change,...,Breadalbane,COM,...,...,...,23/12/2017,110047
1101017,Brudenell,RM,1,Incorporation from part,1101019,Lot 53,LOT,6,Area lost due to incorporation,153,01/01/2018,110033
1101017,Brudenell,RM,1,Incorporation from part,1101016,Lot 52,LOT,6,Area lost due to incorporation,207,01/01/2018,110033
1101021,Cardigan,RM,3,Type change,...,Cardigan,COM,...,...,...,23/12/2017,110048
1101020,Cardigan,FD,1,Incorporation from amalgamation and partial annexation,1101014,Lot 51,LOT,6,Area lost due to incorporation,151,01/01/2018,110085
1101020,Cardigan,FD,1,Incorporation from amalgamation and partial annexation,1101026,Lot 54,LOT,4,Dissolution,151,01/01/2018,110085
1101020,Cardigan,FD,1,Incorporation from amalgamation and partial annexation,1101028,Lot 55,LOT,4,Dissolution,139,01/01/2018,110085
1101020,Cardigan,FD,1,Incorporation from amalgamation and partial annexation,1101016,Lot 52,LOT,6,Area lost due to incorporation,254,01/01/2018,110085
1101020,Cardigan,FD,1,Incorporation from amalgamation and partial annexation,1101019,Lot 53,LOT,6,Area lost due to incorporation,315,01/01/2018,110085
